£22bn
£720m


£713m


£708m



£700m


£700m


£700m


£700m


£700m


£700m


£695m


£668m


£667m


£660m


£660m


£660m


£650m


£650m


£650m


£650m


£645m


£643m


£640m


£640m


£634m


£626m


£626m


£616m


£615m


£612m


£609m


£608m


£607m


£600m


£600m


£600m


£600m


£600m


£600m


£600m


£600m


£600m


£590m


£590m


£587m


£585m


£585m


£571m


£568m


£561m


£560m


£560m


£551m


£551m



£550m


£550m


£543m


£540m


£540m


£540m


£537m


£534m


£531m


£530m


£520m


£515m


£510m


£509m


£506m


£505m


£503m


£500m


£500m


£500m


£500m


£500m


£500m


£500m


£500m


£500m


£500m


£500m


£500m


£500m


£500m


£497m


£490m


£485m


£484m


£480m


£470m


£470m


£470m


£469m


£468m


£467m


£460m


£460m


£460m


£456m


£456m


£455m


£455m


£455m



£452m


£451m


£451m


£450m


£450m


£450m


£446m


£440m


£440m


£437m


£428m


£427m


£426m


£425m


£425m


£423m


£422m


£422m


£421m


£420m


£419m


£413m


£412m


£410m


£410m


£410m


£410m


£408m


£400m


£400m


£400m


£400m


£400m


£400m


£399m


£395m


£395m


£392m


£390m


£390m


£390m


£390m


£390m


£387m


£387m


£385m


£382m


£380m


£380m


£380m



£375m


£375m


£375m


£374m


£372m


£370m


£370m


£369m


£368m


£368m


£367m


£366m


£365m


£364m


£362m


£362m


£360m


£360m


£360m


£357m


£357m


£355m


£355m


£350m


£350m


£350m


£350m


£350m


£350m


£349m


£348m


£346m


£343m


£341m


£340m


£339m


£338m


£337m


£337m


£335m


£335m


£335m


£330m


£330m


£330m


£326m


£325m


£325m


£320m


£320m



£320m


£320m


£319m


£317m


£315m


£315m


£315m


£315m


£314m


£313m


£313m


£310m


£310m


£310m


£310m


£309m


£309m


£308m


£307m


£307m


£307m


£307m


£306m


£305m


£305m


£304m


£303m


£302m


£301m


£301m


£300m


£300m


£300m


£300m


£300m


£300m


£300m


£300m


£298m


£297m


£296m


£294m


£293m


£290m


£290m


£290m


£290m


£289m


£289m


£285m



£284m


£283m


£283m


£281m


£280m


£280m


£280m


£278m


£277m


£275m


£275m


£275m


£273m


£270m


£270m


£270m


£270m


£268m


£267m


£265m


£265m


£265m


£264m


£263m


£262m


£262m


£262m


£260m


£260m


£260m


£260m


£260m


£258m


£257m


£256m


£256m


£255m


£252m


£252m


£250m


£250m


£250m


£250m


£250m


£250m


£250m


£250m


£250m


£250m


£250m



£248m


£242m


£242m


£241m


£241m


£241m


£240m


£240m


£240m


£240m


£240m


£240m


£240m


£240m


£239m


£236m


£236m


£234m


£233m


£231m


£231m


£230m


£230m


£230m


£230m


£230m


£230m


£230m


£228m


£228m


£228m


£227m


£226m


£226m


£225m


£225m


£223m


£223m


£223m


£222m


£221m


£220m


£220m


£220m


£220m


£220m


£220m


£220m


£220m


£220m



£220m


£220m


£219m


£218m


£218m


£215m


£215m


£215m


£215m


£215m


£215m


£214m


£213m


£212m


£212m


£212m


£212m


£211m


£210m


£210m


£210m


£210m


£210m


£210m


£210m


£210m


£210m


£210m


£210m


£210m


£210m


£210m


£209m


£209m


£208m


£208m


£205m


£205m


£205m


£205m


£205m


£205m


£205m


£205m


£205m


£204m


£204m


£204m


£203m


£203m



£203m


£202m


£202m


£201m


£201m


£200m


£200m


£200m


£200m


£200m


£200m


£200m


£200m


£200m


£200m


£200m


£200m


£200m


£200m


£200m


£200m


£200m


£200m


£200m


£199m


£199m


£198m


£196m


£195m


£195m


£195m


£195m


£195m


£195m


£194m


£193m


£192m


£192m


£192m


£192m


£190m


£190m


£190m


£190m


£190m


£190m


£190m


£190m


£190m


£189m



£188m


£187m


£187m


£187m


£187m


£186m


£185m


£185m


£185m


£185m


£184m


£184m


£182m


£182m


£182m


£181m


£180m


£180m


£180m


£180m


£180m


£180m


£180m


£180m


£180m


£179m


£179m


£179m


£179m


£178m


£178m


£177m


£176m


£175m


£175m


£175m


£175m


£175m


£175m


£175m


£175m


£174m


£174m


£173m


£173m


£173m


£173m


£172m


£172m


£172m



£172m


£171m


£170m


£170m


£170m


£170m


£170m


£170m


£170m


£170m


£168m


£167m


£167m


£167m


£167m


£166m


£166m


£166m


£165m


£165m


£165m


£165m


£165m


£165m


£165m


£163m


£163m


£162m


£162m


£162m


£160m


£160m


£160m


£160m


£160m


£160m


£160m


£160m


£160m


£160m


£160m


£160m


£160m


£160m


£160m


£160m


£160m


£160m


£160m


£160m



£159m


£159m


£159m


£158m


£158m


£157m


£157m


£156m


£156m


£155m


£155m


£155m


£155m


£155m


£155m


£155m


£155m


£154m


£154m


£154m


£154m


£153m


£153m


£153m


£152m


£152m


£152m


£152m


£152m


£152m


£152m


£152m


£152m


£152m


£152m


£151m


£150m


£150m


£150m


£150m


£150m


£150m


£150m


£150m


£150m


£150m


£150m


£150m


£150m


£150m



£150m


£150m


£150m


£150m


£150m


£150m


£150m


£150m


£150m


£150m


£150m


£150m


£150m


£150m


£150m


£150m


£150m


£150m


£150m


£150m


£149m


£149m


£149m


£149m


£148m


£148m


£148m


£147m


£147m


£146m


£146m


£146m


£146m


£146m


£145m


£145m


£145m


£145m


£145m


£145m


£145m


£144m


£142m


£142m


£142m


£142m


£142m


£141m


£141m


£141m



£140m


£140m


£140m


£140m


£140m


£140m


£140m


£140m


£140m


£140m


£140m


£140m


£140m


£138m


£138m


£138m


£137m


£137m


£137m


£137m


£136m


£136m


£136m


£136m


£136m


£135m


£135m


£135m


£135m


£135m


£135m


£135m


£135m


£134m


£134m


£134m


£134m


£133m


£133m


£133m


£132m


£132m


£132m


£132m


£132m


£132m


£131m


£131m


£131m


£130m



£130m


£130m


£130m


£130m


£130m


£130m


£130m


£130m


£130m


£130m


£130m


£130m


£130m


£129m


£129m


£129m


£129m


£129m


£129m


£128m


£128m


£128m


£128m


£128m


£128m


£128m


£127m


£127m


£127m


£127m


£127m


£127m


£127m


£126m


£126m


£126m


£126m


£126m


£126m


£126m


£126m


£126m


£126m


£126m


£125m


£125m


£125m


£125m


£125m


£125m



£125m


£125m


£125m


£125m


£125m


£125m


£125m


£125m


£124m


£124m


£124m


£124m


£124m


£123m


£123m


£123m


£123m


£123m


£123m


£122m


£122m


£121m


£121m


£121m


£121m


£121m


£121m


£120m


£120m


£120m


£120m


£120m


£120m


£120m


£120m


£120m


£120m


£120m


£120m


£120m


£120m


£120m


£120m


£120m


£120m


£120m


£120m


£120m


£120m


£120m












